lat,lon,id,distance,altitude,hr,cadence,time,rawTime
-20.400632,57.597161,3120683481,0.0,284.4,73,97,2020-02-22 03:48:39+00:00,0
-20.400629,57.597158,3120683481,0.2,284.4,73,46,2020-02-22 03:48:40+00:00,1
-20.400595,57.597163,3120683481,4.0,284.3,73,46,2020-02-22 03:48:42+00:00,3
-20.400398,57.597157,3120683481,26.1,285.4,73,82,2020-02-22 03:48:49+00:00,10
-20.400278,57.597101,3120683481,40.7,284.7,76,84,2020-02-22 03:48:53+00:00,14
56.434599,12.838058,3092741860,0.8,12.3,88,59,2020-02-12 06:19:59+00:00,0
56.434604,12.83807,3092741860,1.8,12.3,88,59,2020-02-12 06:20:00+00:00,1
56.434625,12.838106,3092741860,5.0,12.1,87,59,2020-02-12 06:20:03+00:00,4
56.434717,12.838408,3092741860,26.5,11.0,87,82,2020-02-12 06:20:10+00:00,11
56.434718,12.838463,3092741860,29.9,10.8,91,82,2020-02-12 06:20:11+00:00,12
